,Mexico City area,venustiano carranza,"san andres cholula, puebla, san pedro cholula, cuautlancingo, tlaxcala, atlixco, ocoyucan, coronango","zapopan, guadalajara, tlajomulco de zuniga, tlaquepaque, zapopan, jalisco, san pedro tlaquepaque, zapopan jalisco, guadalajara, jalisco, guadalajara jalisco, tlajomulco","monterrey, san pedro garza garcia, santa catarina, san nicolas de los garza, apodaca, guadalupe, garcia, general escobedo, monterrey, nuevo leon, monterrey nuevo leon, guadalupe, nuevo leon",queretaro,"benito juarez, cancun, playa del carmen, puerto morelos","merida, merida, yucatan, merida yucatan",san luis potosi,"leon, lopez mateos, leon, guanajuato","puerto vallarta, bahia de banderas","xalapa, veracruz",saltillo,"el marques, corregidora, santiago de queretaro, el marques, queretaro, corregidora, queretaro",aguascalientes,morelia,culiacan,chihuahua,"oaxaca de juarez, oaxaca",celaya,tulum,san miguel de allende,"pachuca, pachuca de soto, mineral de la reforma",tijuana,boca del rio,"colima, manzanillo, villa de alvarez",hermosillo,villahermosa,la paz,mazatlan,tuxtla gutierrez,"san jose del cabo, cabo san lucas",san juan del rio,puerto escondido,coatzacoalcos,"acapulco, acapulco de juarez",mexicali,"orizaba, cordoba",juarez,alvarado,tepic,tonala,durango,torreon,leon guanajuato,san cristobal de las casas,tampico,los mochis,cuautla,ensenada,tehuacan
Mexico City area,0.0,911.23,128.64,545.59,905.42,228.08,1599.17,1307.0,466.71,370.42,826.85,313.73,837.89,210.82,488.51,320.7,1229.89,1433.79,475.57,253.67,1528.34,264.56,90.5,2767.86,400.1,762.59,1901.92,750.4,1668.3,1023.98,829.17,1850.45,162.76,652.87,591.63,369.88,2599.94,274.87,1812.28,441.4,748.12,889.9,1013.0,995.56,918.63,889.35,450.18,1424.28,725.89,2830.84,253.41
venustiano carranza,921.7,0.0,809.0,1455.41,1563.76,1138.4,1099.77,807.59,1377.04,1280.75,1736.67,714.92,1645.19,1121.14,1398.84,1230.52,2139.71,2344.12,585.74,1164.0,1028.94,1174.89,935.3,3677.68,633.52,1672.41,2811.74,322.75,2578.11,1933.8,82.66,2760.27,1073.09,659.76,326.31,1188.15,3509.76,638.66,2803.19,560.21,1657.93,247.34,1923.33,1905.89,130.52,85.3,1061.67,2334.09,1635.71,3740.66,714.55
"san andres cholula, puebla, san pedro cholula, cuautlancingo, tlaxcala, atlixco, ocoyucan, coronango",130.19,797.22,0.0,663.89,1024.24,346.89,1485.16,1192.99,585.53,489.24,945.16,210.13,956.7,329.63,607.33,439.0,1348.19,1552.61,361.56,372.49,1414.34,383.38,143.79,2886.17,286.09,880.9,2020.23,636.39,1786.6,1142.29,715.16,1968.76,281.58,538.86,477.62,384.6,2718.24,160.86,1931.09,327.39,866.42,775.89,1131.82,1114.38,804.62,775.34,445.65,1542.58,844.19,2949.15,139.4
"zapopan, guadalajara, tlajomulco de zuniga, tlaquepaque, zapopan, jalisco, san pedro tlaquepaque, zapopan jalisco, guadalajara, jalisco, guadalajara jalisco, tlajomulco",545.66,1445.45,662.86,0.0,795.61,459.46,2133.39,1841.22,426.1,234.24,285.11,827.88,702.28,391.92,219.54,310.76,688.15,1164.82,1009.79,338.41,2062.57,338.26,557.24,2226.12,911.36,229.18,1360.18,1284.62,1126.56,482.25,1363.39,1308.72,440.72,1187.09,1125.85,756.81,2058.2,809.09,1543.31,975.62,206.38,1424.12,744.03,726.6,1452.85,1423.57,781.79,882.54,184.15,2289.11,787.63
"monterrey, san pedro garza garcia, santa catarina, san nicolas de los garza, apodaca, guadalupe, garcia, general escobedo, monterrey, nuevo leon, monterrey nuevo leon, guadalupe, nuevo leon",907.08,1571.23,1024.78,793.45,0.0,768.87,2259.17,1966.99,460.58,682.45,1074.72,968.64,89.87,706.47,570.47,848.77,1039.19,799.85,1277.29,748.76,2188.34,679.86,919.16,2428.39,959.34,1024.69,1711.22,1410.4,1477.6,833.28,1489.16,1659.75,745.37,1454.59,1251.62,1275.76,2239.56,1065.2,1250.43,1012.51,995.98,1537.1,651.11,334.87,1578.62,1549.35,507.33,1233.58,973.75,2466.08,1055.12
queretaro,226.12,1126.41,343.82,460.71,767.18,0.0,1814.35,1522.17,328.48,244.58,741.97,508.83,699.65,72.6,362.66,287.97,1145.01,1307.95,690.75,127.83,1743.52,126.33,238.2,2682.98,592.32,691.95,1817.04,965.58,1583.42,939.1,1044.34,1765.57,68.24,868.05,806.8,594.8,2515.06,490.04,1686.43,656.58,663.24,1105.08,887.15,869.72,1133.8,1104.53,407.71,1339.4,641.01,2745.96,468.58
"benito juarez, cancun, playa del carmen, puerto morelos",1610.39,1101.29,1497.68,2144.09,2252.44,1827.09,0.0,299.34,2065.73,1969.44,2425.35,1403.61,2333.88,1809.83,2087.52,1919.2,2828.39,3032.81,1485.82,1852.69,133.6,1863.58,1623.98,4366.36,1322.21,2361.1,3500.42,849.28,3266.8,2622.49,1091.09,3448.96,1761.77,1559.84,1014.99,1876.84,4198.44,1327.35,3491.87,1248.89,2346.62,1206.81,2612.01,2594.58,1180.55,1039.65,1750.36,3022.78,2324.39,4429.35,1403.23
"merida, merida, yucatan, merida yucatan",1317.0,807.91,1204.3,1850.71,1959.06,1533.71,299.71,0.0,1772.35,1676.06,2131.97,1110.23,2040.5,1516.45,1794.14,1625.82,2535.01,2739.42,1192.43,1559.31,228.89,1570.19,1330.6,4072.98,1028.83,2067.72,3207.04,555.9,2973.42,2329.11,797.71,3155.58,1468.39,1266.46,721.61,1583.45,3905.06,1033.97,3198.49,955.51,2053.24,913.43,2318.63,2301.2,887.17,746.27,1456.98,2729.4,2031.01,4135.97,1109.85
san luis potosi,482.22,1382.5,599.92,404.31,459.9,344.01,2070.45,1778.27,0.0,257.59,685.57,764.93,392.37,281.61,240.8,423.91,1088.61,1109.09,946.84,323.9,1999.62,254.99,494.29,2670.03,848.42,635.55,1760.64,1221.68,1527.02,882.7,1300.44,1709.17,320.5,1124.14,1062.9,850.9,2481.19,746.14,1487.57,912.68,606.84,1361.18,664.15,644.11,1389.9,1360.63,367.25,1283.0,584.61,2707.72,724.68
"leon, lopez mateos, leon, guanajuato",365.24,1265.53,482.94,235.25,682.71,238.35,1953.47,1661.29,244.0,0.0,516.51,647.95,619.95,170.81,137.21,206.74,919.55,1082.49,829.87,117.3,1882.64,111.41,377.32,2457.52,731.44,466.49,1591.58,1104.7,1357.96,713.65,1183.46,1540.11,219.61,1007.17,945.92,733.92,2289.6,629.16,1460.98,795.7,437.78,1244.2,661.7,644.26,1272.92,1243.65,599.69,1113.94,415.55,2520.5,607.7
