Cluster,Capacity Value Weight
0,
1,4854.893
2,313.848
3,3061.86
4,2919.247
5,53.686
6,1122.641
7,418.81800000000004
8,478.516
9,236.506
10,216.452
11,350.088
12,101.15800000000002
13,54.631
14,
15,163.592
16,126.91
17,4.949999999999999
18,61.096000000000004
19,129.648
20,172.214
21,24.025
22,15.948
23,45.608999999999995
24,2.479
25,134.10000000000002
26,160.594
27,1.82
28,22.918
29,59.799
30,81.14
31,158.868
32,
33,
34,
35,41.0
36,162.489
37,5.229
38,
39,
40,
41,23.363
42,14.042
43,
44,
45,
46,182.712
50,
51,
52,90.61
53,
